Movie Name,Year,Duration,Rated,Score,Metascore
Furiosa: A Mad Max Saga,2024,2h 28m,R,7.9,79
Atlas,2024,1h 58m,PG-13,5.6,37
Civil War,2024,1h 49m,R,7.3,75
The Fall Guy,2024,2h 6m,PG-13,7,73
Mad Max: Fury Road,2015,2h,R,8.1,90
Kingdom of the Planet of the Apes,2024,2h 25m,PG-13,7.2,66
Dune: Part Two,2024,2h 46m,PG-13,8.6,79
IF,2024,1h 44m,PG,6.7,46
Challengers,2024,2h 11m,R,7.4,82
 The First Omen,2024,1h 59m,R,6.6,65
 The Garfield Movie,2024,1h 41m,PG,5.8,31
 The Ministry of Ungentlemanly Warfare,2024,2h,R,6.9,57
 The Idea of You,2024,1h 55m,R,6.4,67
 AOtherra,2024,2h 19m,Other,7.6,89
 Anyone But You,2023,1h 43m,R,6.1,52
 Boy Kills World,2023,1h 51m,R,6.4,47
 The Iron Claw,2023,2h 12m,R,7.6,73
 Horizon: An American Saga - Chapter 1,2024,3h 1m,R,7.8,51
 Hit Man,2023,1h 55m,R,7.4,83
 In a Violent Nature,2024,1h 34m,Other,6.2,69
 Kinds of Kindness,2024,2h 44m,R,6.9,72
 Godzilla x Kong: The New Empire,2024,1h 55m,PG-13,6.2,47
 Dune,2021,2h 35m,PG-13,8,74
 Abigail,2024,1h 49m,R,6.7,62
 Back to Black,2024,2h 2m,R,6.4,44
 Unfrosted,2024,1h 37m,PG-13,5.5,42
 Megalopolis,2024,2h 18m,Other,6.9,59
 Oppenheimer,2023,3h,R,8.3,90
 Poor Things,2023,2h 21m,R,7.9,88
 A Simple Favor,2018,1h 57m,R,6.8,67
 Late Night with the Devil,2023,1h 33m,R,7.1,72
 The Bikeriders,2023,1h 56m,R,7.6,73
 Ghostbusters: Frozen Empire,2024,1h 55m,PG-13,6.2,46
 Love Lies Bleeding,2024,1h 44m,R,6.7,77
 Road House,2024,2h 1m,R,6.2,57
 The Substance,2024,2h 20m,R,7.7,84
 Ezra,2023,1h 41m,R,6.4,57
 The Boys in the Boat,2023,2h 3m,PG-13,6.9,54
 Ferrari,2023,2h 10m,R,6.4,73
 The Beekeeper,2024,1h 45m,R,6.4,53
 War for the Planet of the Apes,2017,2h 20m,PG-13,7.4,82
 X,2022,1h 45m,R,6.5,80
 The Hunger Games: The Ballad of Songbirds & Snakes,2023,2h 37m,PG-13,6.7,54
 Bullet Train,2022,2h 7m,R,7.3,49
 Monkey Man,2024,2h 1m,R,6.9,70
 Dawn of the Planet of the Apes,2014,2h 10m,PG-13,7.6,79
 Disturbia,2007,1h 45m,PG-13,6.8,62
 Planet of the Apes,2001,2h,PG-13,5.7,50
 I Saw the TV Glow,2024,1h 40m,PG-13,7,84
 Argylle,2024,2h 19m,PG-13,5.7,35
 Rise of the Planet of the Apes,2011,1h 45m,PG-13,7.6,68
 The Blue Angels,2024,1h 33m,G,7.3,66
 American Fiction,2023,1h 57m,R,7.5,81
 Top Gun: Maverick,2022,2h 10m,PG-13,8.2,78
 Once Upon a Time... in Hollywood,2019,2h 41m,R,7.6,84
 The Gentlemen,2019,1h 53m,R,7.8,51
 Thelma the Unicorn,2024,1h 33m,PG,5.8,64
 Interstellar,2014,2h 49m,PG-13,8.7,74
 Miller's Girl,2024,1h 33m,R,5.2,41
 Barbie,2023,1h 54m,PG-13,6.8,80
 Mothers' Instinct,2024,1h 34m,Other,6.3,46
 The Holdovers,2023,2h 13m,R,7.9,82
 Immaculate,2024,1h 29m,R,5.8,57
 The Judge,2014,2h 21m,R,7.4,48
 Sting,2024,1h 32m,R,5.7,57
 Anatomy of a Fall,2023,2h 31m,R,7.7,86
 The Invitation,2022,1h 45m,PG-13,5.3,45
 Pearl,2022,1h 43m,R,7,76
 Leave the World Behind,2023,2h 18m,R,6.4,68
 The Last Stop in Yuma County,2023,1h 30m,R,6.9,72
 Sight,2023,1h 43m,PG-13,7.2,42
 Kung Fu Panda 4,2024,1h 34m,PG,6.3,54
 Spider-Man: No Way Home,2021,2h 28m,PG-13,8.2,71
 The Strangers,2008,1h 26m,R,6.1,47
 The Batman,2022,2h 56m,PG-13,7.8,72
 Inside Out,2015,1h 35m,PG,8.1,94
 Mission: Impossible - Dead Reckoning Part One,2023,2h 43m,PG-13,7.7,81
 Where the Crawdads Sing,2022,2h 5m,PG-13,7.2,43
 Saltburn,2023,2h 11m,R,7,61
 Damsel,2024,1h 50m,PG-13,6.1,46
 Rebel Moon - Part One: A Child of Fire,2023,2h 13m,PG-13,5.6,31
 Wonka,2023,1h 56m,PG,7,66
 Arthur the King,2024,1h 47m,PG-13,7,54
 Killers of the Flower Moon,2023,3h 26m,R,7.6,89
 Gladiator,2000,2h 35m,R,8.5,67
 Love,2015,2h 15m,TV-MA,6.1,51
 Inception,2010,2h 28m,PG-13,8.8,74
 Harry Potter and the Sorcerer's Stone,2001,2h 32m,PG,7.6,65
 The Dark Knight,2008,2h 32m,PG-13,9,84
 The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG-13,8.9,92
 The Hunger Games,2012,2h 22m,PG-13,7.2,68
 Young Woman and the Sea,2024,2h 9m,PG,7.6,63
 Wish,2023,1h 35m,PG,5.6,47
 Reunion,2024,1h 30m,R,5.5,0
 Midsommar,2019,2h 28m,R,7.1,72
 The Dead Don't Hurt,2023,2h 9m,R,6.7,67
 The Wolf of Wall Street,2013,3h,R,8.2,75
 Fresh,2022,1h 54m,R,6.7,67
 Blade Runner 2049,2017,2h 44m,R,8,81
Perfect Days,2023,2h 4m,PG,7.9,80
Upgrade,2018,1h 40m,R,7.5,67
Tenet,2020,2h 30m,PG-13,7.3,69
About Time,2013,2h 3m,R,7.8,55
Land of Bad,2024,1h 53m,R,6.5,57
Security,2017,1h 28m,R,5.7,0
Deadpool,2016,1h 48m,R,8,65
No Time to Die,2021,2h 43m,PG-13,7.3,68
Glass Onion,2022,2h 19m,PG-13,7.1,81
Her,2013,2h 6m,R,8,91
Hereditary,2018,2h 7m,R,7.3,87
Babes,2024,1h 44m,R,6.6,74
Incendies,2010,2h 11m,R,8.3,80
No Hard Feelings,2023,1h 43m,R,6.4,59
Parasite,2019,2h 12m,R,8.5,97
Knox Goes Away,2023,1h 54m,R,6.9,54
28 Days Later,2002,1h 53m,R,7.5,73
Rebel Moon - Part Two: The Scargiver,2024,2h 2m,PG-13,5.2,35
"The Gangster, the Cop, the Devil",2019,1h 49m,Other,6.9,65
Arcadian,2024,1h 32m,R,5.5,60
Barbarian,2022,1h 42m,R,7,78
Spider-Man: Across the Spider-Verse,2023,2h 20m,PG,8.6,86
Blue Beetle,2023,2h 7m,PG-13,6,61
Inglourious Basterds,2009,2h 33m,R,8.4,69
All of Us Strangers,2023,1h 45m,R,7.7,90
The Menu,2022,1h 47m,R,7.2,71
Dream Scenario,2023,1h 42m,R,6.9,74
Fall,2022,1h 47m,PG-13,6.4,62
Avengers: Endgame,2019,3h 1m,PG-13,8.4,78
Turtles All the Way Down,2024,1h 51m,PG-13,6.7,64
Knives Out,2019,2h 10m,PG-13,7.9,82
Moana,2016,1h 47m,PG,7.6,81
Aquaman and the Lost Kingdom,2023,2h 4m,PG-13,5.6,42
Talk to Me,2022,1h 35m,R,7.1,76
Three Thousand Years of Longing,2022,1h 48m,R,6.7,60
The Killing of a Sacred Deer,2017,2h 1m,R,7,73
The Little Things,2021,2h 8m,R,6.3,54
Split,2016,1h 57m,PG-13,7.3,63
Inheritance,2020,1h 51m,TV-MA,5.6,31
John Wick: Chapter 4,2023,2h 49m,R,7.7,78
Napoleon,2023,2h 38m,R,6.4,64
No Country for Old Men,2007,2h 2m,R,8.2,92
Everything Everywhere All at Once,2022,2h 19m,R,7.8,81
Troy,2004,2h 43m,R,7.3,56
The Bricklayer,2023,1h 50m,R,5.1,0
Purple Hearts,2022,2h 2m,TV-14,6.7,30
Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,PG-13,8.1,63
Migration,2023,1h 23m,PG,6.7,56
Ford v Ferrari,2019,2h 32m,PG-13,8.1,81
The Prestige,2006,2h 10m,PG-13,8.5,66
World War Z,2013,1h 56m,PG-13,7,63
Everybody Wants Some!!,2016,1h 57m,R,6.9,85
Dark Waters,2019,2h 6m,PG-13,7.6,73
The Departed,2006,2h 31m,R,8.5,85
Requiem for a Dream,2000,1h 42m,NC-17,8.3,71
Whiplash,2014,1h 46m,R,8.5,89
Deadpool 2,2018,1h 59m,R,7.6,66
Mean Girls,2024,1h 52m,PG-13,5.7,58
Five Nights at Freddy's,2023,1h 49m,PG-13,5.5,33
Don't Worry Darling,2022,2h 3m,R,6.3,48
